key;fare_amount;pickup_datetime;pickup_longitude;pickup_latitude;dropoff_longitude;dropoff_latitude;passenger_count
19/07/2012 23:53;137;2012-07-19 23:53:14 UTC;-74002113;40739582;-73971918;40791899;2
23/03/2009 12:13;65;2009-03-23 12:13:29 UTC;-7398543;40736011;-73982501;40724802;1
16/07/2014 10:57;5;2014-07-16 10:57:00 UTC;-73996148;4074189;-73992202;40739425;6
22/04/2011 23:21;45;2011-04-22 23:21:03 UTC;-74009137;40713436;-74002823;40723428;3
02/01/2012 14:54;49;2012-01-02 14:54:00 UTC;-74003985;40731677;-73999765;40723512;1
01/05/2014 09:12;7;2014-05-01 09:12:00 UTC;-73966203;407675;-73980915;4077424;6
07/11/2011 10:47;73;2011-11-07 10:47:40 UTC;-74003919;40753019;-73992368;40735362;1
07/10/2012 17:59;75;2012-10-07 17:59:08 UTC;-74004736;40715882;-74017723;40705141;1
17/01/2014 09:03;85;2014-01-17 09:03:00 UTC;-73991467;40750575;-7398575;40741547;4
29/04/2014 18:28;165;2014-04-29 18:28:00 UTC;-73970323;4075084;-73998392;40724862;6
12/04/2015 10:19;115;2015-04-12 10:19:05 UTC;-7,39793E+16;4,07234E+16;-7,40046E+16;4,07469E+14;6
12/05/2015 23:51;5;2015-05-12 23:51:42 UTC;-7,39548E+16;4,07793E+16;-7,39449E+16;4,07801E+16;1
02/08/2009 02:34;69;2009-08-02 02:34:11 UTC;-73995781;40723411;-74005004;4071895;2
31/01/2010 10:53;37;2010-01-31 10:53:00 UTC;-7400163;40730767;-73997112;40737533;1
14/05/2010 08:09;69;2010-05-14 08:09:00 UTC;-73955118;40768942;-73963495;40761887;2
21/05/2012 15:20;101;2012-05-21 15:20:00 UTC;-73977788;40771838;-739662;40778113;2
08/12/2014 16:00;165;2014-12-08 16:00:01 UTC;-739828;40745287;-7401425;40702935;1
16/08/2010 01:33;1507;2010-08-16 01:33:00 UTC;-73961933;40795585;-73962253;40764817;2
04/12/2010 14:26;77;2010-12-04 14:26:13 UTC;-73996601;40736569;-73982152;40744322;1
12/08/2011 04:20;249;2011-08-12 04:20:00 UTC;-74006662;4073121;-7392594;40825588;1
06/02/2013 22:16;7;2013-02-06 22:16:00 UTC;-73988425;40764342;-74001642;40745752;2
11/06/2014 22:24;85;2014-06-11 22:24:21 UTC;-73994128;40735087;-73986393;40751461;1
19/08/2010 16:33;57;2010-08-19 16:33:00 UTC;-7397383;40763717;-7398942;40771522;1
10/03/2013 15:44;5;2013-03-10 15:44:00 UTC;-7401336;40702272;-7401699;40709245;1
14/06/2013 08:27;85;2013-06-14 08:27:43 UTC;-7395371;40790813;-73957015;40777676;1
08/07/2013 21:24;17;2013-07-08 21:24:00 UTC;-74009728;40705167;-73970897;40749307;1
21/03/2014 11:00;8;2014-03-21 11:00:29 UTC;-73950688;40828531;-73964101;4080814;1
02/10/2014 13:39;12;2014-10-02 13:39:56 UTC;-73995387;40749482;-73975789;40748741;1
31/08/2011 08:21;125;2011-08-31 08:21:47 UTC;-73917399;40746485;-73973756;40763836;1
19/05/2014 06:26;75;2014-05-19 06:26:00 UTC;-73990815;40730495;-73978337;40751085;1
05/04/2012 05:50;69;2012-04-05 05:50:00 UTC;-74007443;40732547;-73991112;40742312;5
04/03/2015 14:55;5;2015-03-04 14:55:40 UTC;-7,39887E+14;4,0745E+16;-7,39957E+16;4,07442E+16;2
27/04/2010 21:40;105;2010-04-27 21:40:07 UTC;-74001135;40730979;-73984424;4076463;1
22/02/2011 11:09;77;2011-02-22 11:09:16 UTC;-73968881;40764533;-73985311;40748956;1
03/04/2015 16:21;11;2015-04-03 16:21:30 UTC;-7,39811E+14;4,07743E+16;-7,3959E+15;4,07807E+16;2
09/01/2009 15:01;57;2009-01-09 15:01:20 UTC;-73992826;40751271;-73982786;40742432;1
09/01/2013 14:42;9;2013-01-09 14:42:00 UTC;-73946852;40775802;-7396434;40760703;1
06/07/2013 17:18;135;2013-07-06 17:18:00 UTC;-73950655;40783282;-73984365;40769802;1
08/10/2013 17:29;75;2013-10-08 17:29:00 UTC;-73976512;40765277;-73977672;40778052;1
07/12/2014 12:26;9;2014-12-07 12:26:00 UTC;-73984977;40752122;-74000925;40757982;1
17/05/2015 08:02;14;2015-05-17 08:02:59 UTC;-7,39792E+16;4,07237E+16;-7,40175E+16;4,07114E+16;1
09/06/2011 00:53;57;2011-06-09 00:53:00 UTC;-73983052;40722588;-73988022;40733738;3
12/11/2014 12:40;10;2014-11-12 12:40:29 UTC;-74002581;40739572;-7399458;40760682;1
04/06/2010 14:49;57;2010-06-04 14:49:00 UTC;-73993452;40761447;-73979662;40759618;5
08/11/2010 20:42;97;2010-11-08 20:42:00 UTC;-73970705;40761643;-73992833;40727647;2
09/03/2011 07:24;141;2011-03-09 07:24:34 UTC;-73974492;40751369;-74010585;40703364;1
04/08/2011 10:38;77;2011-08-04 10:38:00 UTC;-73991607;4076318;-73982718;4076239;2
25/03/2009 00:08;52;2009-03-25 00:08:52 UTC;-74035839;4074732;-74035839;4074732;1
22/03/2010 10:01;113;2010-03-22 10:01:00 UTC;-7400767;40732177;-73974663;40758932;1
25/03/2012 09:22;85;2012-03-25 09:22:45 UTC;-73986681;40725659;-73977068;40754504;1
05/06/2012 09:16;129;2012-06-05 09:16:00 UTC;-73965315;40790852;-73978195;40766375;6
06/11/2012 11:33;95;2012-11-06 11:33:14 UTC;-73972195;40765883;-73967942;40761951;1
22/05/2014 18:30;9;2014-05-22 18:30:00 UTC;-73982272;40748357;-73969325;40763877;1
17/10/2014 08:28;10;2014-10-17 08:28:00 UTC;-73991797;40735262;-73975915;40748697;6
06/12/2012 18:05;35;2012-12-06 18:05:00 UTC;-7395331;40787772;-73944352;40719772;2
06/12/2012 18:05;9;2012-12-06 18:05:00 UTC;-7396083;4077308;-73978372;40774907;1
20/07/2014 12:48;17;2014-07-20 12:48:35 UTC;-7397339;40743883;-73954021;40766063;1
25/01/2009 18:41;61;2009-01-25 18:41:00 UTC;-74000122;4074308;-7400615;40734233;5
27/03/2010 02:26;145;2010-03-27 02:26:39 UTC;-73961598;40716487;-73960417;40674963;2
05/01/2011 17:39;37;2011-01-05 17:39:00 UTC;-73966957;40761268;-73967912;40765535;1
11/05/2012 15:03;325;2012-05-11 15:03:53 UTC;-73872862;40774105;-73970593;40764393;2
03/01/2010 10:20;53;2010-01-03 10:20:12 UTC;-73995083;40739527;-73999599;40726264;3
08/11/2012 21:00;115;2012-11-08 21:00:00 UTC;-73972018;40750142;-74006008;4073622;5
23/11/2013 23:34;4;2013-11-23 23:34:03 UTC;-73993701;40741569;-73987999;40748834;1
17/06/2010 16:12;105;2010-06-17 16:12:58 UTC;-73966473;407575;-73993336;40745051;1
19/08/2012 19:56;177;2012-08-19 19:56:34 UTC;-7387082;40773748;-73808317;407003;1
17/01/2013 17:22;8;2013-01-17 17:22:00 UTC;0;0;0;0;2
10/05/2013 16:39;5;2013-05-10 16:39:08 UTC;-73971696;40763378;-73962035;40776598;1
17/09/2013 04:22;19;2013-09-17 04:22:00 UTC;-7398721;40729325;-73931985;40697207;1
06/01/2014 21:21;8;2014-01-06 21:21:00 UTC;-73988492;40717977;-7397818;40737407;1
30/09/2010 08:38;73;2010-09-30 08:38:00 UTC;-73986588;4072165;-74008005;40717167;2
06/10/2012 15:47;65;2012-10-06 15:47:00 UTC;-7398213;40774807;-73973583;40789645;5
11/02/2013 00:13;8;2013-02-11 00:13:00 UTC;-74002843;40733692;-73987882;4072859;1
12/09/2014 23:10;165;2014-09-12 23:10:00 UTC;-73983837;40676052;-74002522;40723145;1
22/09/2009 21:14;4957;2009-09-22 21:14:00 UTC;-73977023;407526;-7379031;40643783;2
03/02/2012 13:46;105;2012-02-03 13:46:35 UTC;-73988006;40737723;-73965699;40766095;1
12/02/2012 01:26;225;2012-02-12 01:26:00 UTC;-739882;4075909;-73923683;4086861;5
21/12/2012 06:47;115;2012-12-21 06:47:00 UTC;-73947472;40771227;-73981832;40760272;1
01/11/2014 16:51;125;2014-11-01 16:51:09 UTC;-73984723;40748023;-73977245;40757891;2
26/01/2013 18:36;55;2013-01-26 18:36:00 UTC;-73950305;40785607;-73943587;40789532;1
20/05/2013 11:03;65;2013-05-20 11:03:50 UTC;-73980735;40747911;-7397053;40761998;1
31/05/2015 07:33;165;2015-05-31 07:33:18 UTC;-7,3997E+16;4,07554E+16;-7,39532E+16;4,08021E+16;3
15/02/2015 22:41;9;2015-02-15 22:41:32 UTC;-7,40034E+16;4,07331E+16;-7,4008E+16;4,07072E+15;1
25/06/2009 10:29;89;2009-06-25 10:29:00 UTC;-739578;40768003;-73981712;40763392;1
23/07/2009 17:05;109;2009-07-23 17:05:10 UTC;-73983735;40746697;-73954411;40772219;1
19/03/2011 15:00;89;2011-03-19 15:00:27 UTC;-7398103;40729782;-73993011;40752803;1
06/05/2011 11:37;85;2011-05-06 11:37:14 UTC;-73963115;40774034;-73975251;40760823;1
08/02/2013 09:50;17;2013-02-08 09:50:04 UTC;-73962458;40759027;-73986199;40753397;1
24/08/2010 01:39;125;2010-08-24 01:39:26 UTC;-74003848;40720855;-7398098;40668304;1
13/05/2014 22:19;525;2014-05-13 22:19:00 UTC;-73982265;40762062;-7376855;40675135;1
25/10/2014 21:24;16;2014-10-25 21:24:00 UTC;-74005677;40745547;-73962663;40794295;1
19/04/2015 22:21;8;2015-04-19 22:21:12 UTC;-7,39855E+16;4,07473E+16;-7,40077E+16;4,07408E+16;1
17/05/2010 07:44;173;2010-05-17 07:44:00 UTC;-73950972;40785633;-7401024;40720302;1
26/10/2011 03:37;57;2011-10-26 03:37:00 UTC;-7400844;40711253;-74001313;40731078;1
18/04/2015 09:30;55;2015-04-18 09:30:31 UTC;-7,39809E+16;4,07421E+14;-7,3977E+15;4,07517E+16;1
27/02/2009 13:31;165;2009-02-27 13:31:21 UTC;-73974938;40762091;-74003309;40706195;2
16/07/2009 20:33;129;2009-07-16 20:33:00 UTC;-73980755;40680558;-7398911;40726788;2
16/05/2011 13:10;101;2011-05-16 13:10:38 UTC;-73991245;40739058;-73992972;4076768;1
09/08/2013 21:19;95;2013-08-09 21:19:00 UTC;-73992583;40730417;-74005352;40740247;1
14/03/2010 15:40;45;2010-03-14 15:40:00 UTC;-73979872;40749027;-73976553;40757498;5
27/04/2011 13:19;65;2011-04-27 13:19:48 UTC;-73971541;40764009;-73975937;40755971;1
30/01/2015 00:16;215;2015-01-30 00:16:06 UTC;-7,40011E+14;4,07215E+15;-7,39594E+16;4,06531E+14;1
04/11/2014 12:11;8;2014-11-04 12:11:19 UTC;-73975189;40759095;-7398051;4076761;1
27/12/2009 21:07;49;2009-12-27 21:07:39 UTC;-74003018;4073978;-73991533;40733091;1
04/07/2010 13:07;57;2010-07-04 13:07:47 UTC;-73991037;40750049;-73980438;4075193;2
12/06/2011 13:33;153;2011-06-12 13:33:00 UTC;-73949477;40768018;-74003118;40733022;5
28/08/2012 12:29;149;2012-08-28 12:29:40 UTC;-73992214;40758864;-739938;40722718;1
11/11/2012 18:23;7;2012-11-11 18:23:00 UTC;-73999998;40727087;-73992448;40735602;1
24/03/2013 18:05;355;2013-03-24 18:05:42 UTC;-73863891;40770005;-74007246;40705533;1
13/08/2014 08:26;85;2014-08-13 08:26:00 UTC;-73954598;4078676;-73966013;40768112;1
16/01/2009 21:10;45;2009-01-16 21:10:00 UTC;-73994143;40751193;-73988897;40759742;1
21/01/2011 18:43;41;2011-01-21 18:43:46 UTC;-73982279;40768364;-73985968;40762939;1
26/02/2011 20:27;117;2011-02-26 20:27:36 UTC;-73981496;40781004;-7399592;40738813;1
22/06/2013 02:35;23;2013-06-22 02:35:01 UTC;-73997728;40746099;-73947656;40829451;1
06/06/2009 23:56;57;2009-06-06 23:56:00 UTC;-73982357;40762498;-7397321;40755345;2
24/01/2009 09:51;53;2009-01-24 09:51:00 UTC;-7396707;40769178;-73954895;4077821;1
27/02/2015 07:50;105;2015-02-27 07:50:56 UTC;-7,3944E+16;4,0776E+16;-7,3955E+16;4,07851E+16;1
25/03/2009 14:48;49;2009-03-25 14:48:49 UTC;-73982095;40774001;-73975373;40787111;1
10/09/2010 18:45;65;2010-09-10 18:45:00 UTC;-7398353;40766992;-73986255;40779708;4
31/08/2011 13:47;113;2011-08-31 13:47:02 UTC;-73981154;40729204;-74007407;4074851;2
12/04/2013 04:39;115;2013-04-12 04:39:51 UTC;-73963511;40761732;-73917488;40739776;1
29/05/2009 09:46;53;2009-05-29 09:46:11 UTC;-73983415;40761844;-73990414;40756375;2
15/07/2010 19:09;57;2010-07-15 19:09:01 UTC;-74006055;40733166;-74002895;4074553;1
07/09/2009 18:52;81;2009-09-07 18:52:00 UTC;-73952198;40788107;-73980767;40774995;1
09/06/2010 06:20;61;2010-06-09 06:20:32 UTC;-74008083;40719238;-7399832;40737977;1
15/04/2012 17:02;93;2012-04-15 17:02:44 UTC;-73995636;40746573;-73984437;40767145;1
06/02/2013 14:52;45;2013-02-06 14:52:00 UTC;-73972072;40755692;-73972082;40755727;2
13/12/2011 05:56;57;2011-12-13 05:56:00 UTC;-7399049;40755982;-73974202;4075421;4
27/07/2014 08:22;165;2014-07-27 08:22:00 UTC;-7395485;4076542;-7400751;4073877;2
06/06/2013 15:23;17;2013-06-06 15:23:56 UTC;-73954462;40764046;-73994593;40729272;2
12/07/2014 15:22;245;2014-07-12 15:22:00 UTC;-7401278;40707952;-73997932;40760632;6
25/05/2010 20:14;61;2010-05-25 20:14:00 UTC;-74005278;40735298;-73986698;40729892;1
08/09/2012 00:49;6;2012-09-08 00:49:20 UTC;-74004935;40729625;-74016156;4071741;1
08/01/2014 21:55;65;2014-01-08 21:55:58 UTC;-73998488;40726303;-73998488;40726303;1
05/09/2010 17:08;37;2010-09-05 17:08:00 UTC;0;0;0;0;5
30/08/2012 18:57;45;2012-08-30 18:57:00 UTC;-739265;40765577;-73937897;4076451;3
02/05/2013 07:41;27;2013-05-02 07:41:00 UTC;-73987285;40718622;-73959295;40778482;1
05/02/2014 00:28;16;2014-02-05 00:28:00 UTC;-73996652;40744495;-73980253;40737635;1
12/01/2010 17:11;161;2010-01-12 17:11:00 UTC;-73959222;40763282;-739633;40716935;1
07/11/2010 17:14;157;2010-11-07 17:14:23 UTC;-73974895;40751455;-73981754;40783542;2
22/04/2012 00:35;2,69E+16;2012-04-22 00:35:00 UTC;-73863072;40768622;-73982145;40736167;6
05/01/2013 21:36;55;2013-01-05 21:36:00 UTC;-73989692;40735497;-73982012;40739392;1
05/10/2013 09:12;6;2013-10-05 09:12:21 UTC;-7400031;40747961;-73993636;40757229;1
16/11/2009 23:53;77;2009-11-16 23:53:00 UTC;-7400145;40717487;-74017455;40709785;1
05/04/2011 11:29;129;2011-04-05 11:29:00 UTC;-73985185;4072777;-73980605;40759143;1
25/04/2012 20:39;113;2012-04-25 20:39:00 UTC;-73993973;40746577;-7400506;40709365;1
10/01/2011 16:07;425;2011-01-10 16:07:00 UTC;-73795677;40807722;-73978683;40724365;2
14/01/2011 18:10;57;2011-01-14 18:10:00 UTC;-7398637;4074738;-73975567;40744572;2
02/04/2012 08:02;53;2012-04-02 08:02:16 UTC;-73948001;4077854;-73958566;40778483;2
10/02/2010 08:57;105;2010-02-10 08:57:54 UTC;-73954108;40766901;-73984133;40743475;1
31/05/2011 22:21;73;2011-05-31 22:21:01 UTC;-73994009;4076144;-73972811;40792574;1
26/09/2011 09:32;45;2011-09-26 09:32:42 UTC;-73995331;40739986;-73987655;40736707;1
23/10/2012 08:09;125;2012-10-23 08:09:25 UTC;-73982332;40768633;-73983343;40744372;1
07/09/2013 22:29;165;2013-09-07 22:29:00 UTC;-739952;40731697;-7394977;40780347;1
31/07/2012 19:20;49;2012-07-31 19:20:00 UTC;-74002707;4072664;-73991825;4072722;2
26/08/2011 08:00;41;2011-08-26 08:00:00 UTC;-73990953;40733067;-73996235;4072557;1
17/03/2013 12:56;155;2013-03-17 12:56:58 UTC;-73985132;4076853;-74002285;40730008;1
25/05/2015 15:11;11;2015-05-25 15:11:09 UTC;-7,39722E+16;4,07656E+16;-7,39796E+16;4,07365E+16;1
08/04/2009 19:11;49;2009-04-08 19:11:10 UTC;-73998287;4072749;-73989854;40735239;2
06/06/2009 01:57;113;2009-06-06 01:57:52 UTC;-73980196;40726966;-73956413;4077547;1
27/02/2011 14:45;73;2011-02-27 14:45:00 UTC;-73983758;4074643;-73963557;40774088;1
13/01/2012 11:28;149;2012-01-13 11:28:00 UTC;-73955268;40782767;-73932382;40794812;6
16/03/2012 07:58;3,09E+16;2012-03-16 07:58:00 UTC;-73981942;40763977;-73870455;40773607;5
18/06/2012 20:57;61;2012-06-18 20:57:27 UTC;-7398972;4075238;-74007553;40743197;1
23/02/2010 09:49;33;2010-02-23 09:49:00 UTC;-73995802;40749905;-73994543;40750907;1
06/01/2012 07:05;41;2012-01-06 07:05:08 UTC;-73991863;40754275;-73983796;40753213;1
21/07/2014 14:03;12;2014-07-21 14:03:00 UTC;-73973857;40764185;-73994435;40750242;3
05/08/2014 11:44;9;2014-08-05 11:44:33 UTC;-73991485;40754599;-7400497;40751693;1
29/03/2012 03:51;25;2012-03-29 03:51:00 UTC;-73989142;40720105;-73988777;40720662;1
30/06/2012 13:43;89;2012-06-30 13:43:00 UTC;-7398948;40743287;-73965692;40754512;1
31/01/2014 04:49;105;2014-01-31 04:49:53 UTC;-73978991;4072375;-73963046;40711855;1
16/11/2010 19:40;57;2010-11-16 19:40:00 UTC;-74000552;40727492;-74005037;40719123;1
15/12/2012 19:11;7;2012-12-15 19:11:53 UTC;-74002462;40718762;-74007071;40705536;2
20/07/2014 23:51;12;2014-07-20 23:51:54 UTC;-73984997;40768466;-73944564;40800466;1
24/05/2010 14:24;4957;2010-05-24 14:24:00 UTC;-73982483;4075674;-73789985;4064691;1
24/07/2011 01:14;85;2011-07-24 01:14:35 UTC;0;0;0;0;2
18/08/2012 18:33;45;2012-08-18 18:33:00 UTC;-73947035;40776027;-73955498;40764307;1
08/08/2009 21:32;73;2009-08-08 21:32:00 UTC;-73977897;40762802;-7399153;40750252;5
08/01/2010 00:28;53;2010-01-08 00:28:00 UTC;-73986402;40754723;-73998898;40739248;1
19/09/2010 19:28;69;2010-09-19 19:28:00 UTC;-73967425;40755712;-73983035;40734913;5
16/05/2012 18:14;93;2012-05-16 18:14:00 UTC;-73971088;40792648;-73968405;40769673;1
13/02/2009 16:54;67;2009-02-13 16:54:52 UTC;-73959669;40779718;-73976259;40788413;1
20/06/2009 19:28;73;2009-06-20 19:28:37 UTC;-73979345;4077663;-73973842;40757074;1
03/09/2013 08:08;9;2013-09-03 08:08:00 UTC;-7398088;40779967;-73953747;4078777;1
20/01/2013 14:33;13;2013-01-20 14:33:27 UTC;-74008125;40738935;-73980522;40759953;2
31/07/2013 06:51;19;2013-07-31 06:51:13 UTC;-73988834;4076428;-73941405;40838664;1
09/09/2013 22:12;55;2013-09-09 22:12:59 UTC;-73976474;40765048;-73964665;40762986;1
23/01/2009 07:28;81;2009-01-23 07:28:00 UTC;-73996068;40732605;-73980675;40761862;1
18/02/2011 13:19;93;2011-02-18 13:19:49 UTC;-73973211;40760752;-73974265;40788281;1
11/05/2013 19:51;18;2013-05-11 19:51:00 UTC;-73997845;40721235;-73988257;40764125;1
13/09/2014 12:17;12;2014-09-13 12:17:00 UTC;-73984227;40766897;-7396239;40776037;1
21/04/2009 22:59;73;2009-04-21 22:59:27 UTC;-73968534;40752603;-73992625;40742916;1
26/09/2009 15:17;49;2009-09-26 15:17:20 UTC;-7395554;40781958;-73962196;40772095;2
28/05/2010 21:33;161;2010-05-28 21:33:07 UTC;-73789506;4064704;-73815622;40680364;1
02/05/2011 08:20;129;2011-05-02 08:20:11 UTC;-73978602;4076412;-74008858;40715637;2
14/02/2015 19:00;4;2015-02-14 19:00:23 UTC;-7,3962E+15;4,07761E+14;-7,39548E+16;4,07741E+16;1
02/05/2011 12:44;153;2011-05-02 12:44:59 UTC;-74006636;40751407;-73954979;40765281;1
24/06/2012 17:33;117;2012-06-24 17:33:00 UTC;-73954497;40769857;-73984315;40746007;1
22/05/2010 23:29;253;2010-05-22 23:29:57 UTC;-74001343;4074132;-73928619;40864267;1
30/06/2010 02:22;89;2010-06-30 02:22:05 UTC;-73993112;40719911;-73956729;40720723;1
26/04/2013 02:06;6;2013-04-26 02:06:00 UTC;-73978778;40753502;-73973247;40748147;1
02/05/2013 03:57;6;2013-05-02 03:57:12 UTC;-7399578;40716218;-74009132;4072078;1
23/01/2011 11:44;65;2011-01-23 11:44:28 UTC;-74003665;40736906;-73997843;40724187;1
14/10/2012 21:06;75;2012-10-14 21:06:27 UTC;-7397733;4074948;-73987669;40732709;1
30/04/2015 14:07;165;2015-04-30 14:07:57 UTC;-7,4004E+16;4,0748E+16;-7,39832E+16;4,07563E+16;1
12/07/2010 09:44;49;2010-07-12 09:44:33 UTC;-73983249;40734655;-73991278;40738918;1
08/01/2012 19:03;97;2012-01-08 19:03:15 UTC;-73962981;40766443;-7398893;40731434;1
24/04/2012 13:00;77;2012-04-24 13:00:36 UTC;-7397935;40784608;-73963933;40808145;1
09/05/2014 09:42;19;2014-05-09 09:42:16 UTC;-73968675;40799103;-73935898;40849863;2
31/07/2009 13:53;169;2009-07-31 13:53:52 UTC;-73990057;40756307;-73949604;40834464;1
18/11/2012 12:17;105;2012-11-18 12:17:00 UTC;-74002198;40739608;-73987342;40720295;2
15/06/2011 18:07;89;2011-06-15 18:07:00 UTC;-7399633;40753225;-73978895;40766963;3
25/08/2012 01:53;75;2012-08-25 01:53:42 UTC;-73995892;40746454;-73995892;40746454;1
06/09/2012 13:41;55;2012-09-06 13:41:00 UTC;-74005583;40740728;-74003423;40748705;1
13/05/2009 18:17;109;2009-05-13 18:17:00 UTC;-73964958;40775261;-73949661;40809689;1
